area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c07;c08a;c09;c10;c11;c12;c13;c14;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;010150;017702;083;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;179,166642363697;010150017702;01015001770208306;010150017702083061;202605
1;010150;017702;083;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;179,166642363697;010150017702;01015001770208307;010150017702083071;202605
1;010150;017702;083;08;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;179,166642363697;010150017702;01015001770208308;010150017702083081;202605
1;010150;017802;066;01;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;2712;59,8533883460776;010150017802;01015001780206601;010150017802066011;202605
1;010150;017802;066;02;1;2;2;2;3;3;3;2;2;2;2;2;2;2;2;2;2;2712;59,8533883460776;010150017802;01015001780206602;010150017802066021;202605
1;010150;017802;066;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;59,8533883460776;010150017802;01015001780206603;010150017802066031;202605
1;010150;017802;066;04;1;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2712;59,8533883460776;010150017802;01015001780206604;010150017802066041;202605
1;010150;017802;066;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;59,8533883460776;010150017802;01015001780206605;010150017802066051;202605
1;010150;017802;066;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;59,8533883460776;010150017802;01015001780206606;010150017802066061;202605
1;010150;017802;066;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;59,8533883460776;010150017802;01015001780206607;010150017802066071;202605
1;010150;018001;063;01;1;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2712;37,41189824365;010150018001;01015001800106301;010150018001063011;202605
1;010150;018001;063;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2712;37,41189824365;010150018001;01015001800106302;010150018001063021;202605
1;010150;018001;063;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;37,41189824365;010150018001;01015001800106303;010150018001063031;202605
1;010150;018001;063;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;37,41189824365;010150018001;01015001800106304;010150018001063041;202605
1;010150;018001;063;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;37,41189824365;010150018001;01015001800106305;010150018001063051;202605
1;010150;018001;063;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;37,41189824365;010150018001;01015001800106306;010150018001063061;202605
1;010150;018001;063;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;37,41189824365;010150018001;01015001800106307;010150018001063071;202605
1;010150;018503;081;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;50,2161848400304;010150018503;01015001850308102;010150018503081021;202605
1;010150;018503;081;03;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;50,2161848400304;010150018503;01015001850308103;010150018503081031;202605
1;010150;018503;081;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;50,2161848400304;010150018503;01015001850308104;010150018503081041;202605
1;010150;018503;081;05;1;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2713;50,2161848400304;010150018503;01015001850308105;010150018503081051;202605
1;010150;018503;081;06;1;2;2;2;3;2;2;2;2;2;2;2;2;1;2;2;2;2713;50,2161848400304;010150018503;01015001850308106;010150018503081061;202605
1;010150;018503;081;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;50,2161848400304;010150018503;01015001850308107;010150018503081071;202605
1;010150;018503;081;08;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;50,2161848400304;010150018503;01015001850308108;010150018503081081;202605
1;010150;020003;083;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;55,265228028398;010150020003;01015002000308301;010150020003083011;202605
1;010150;020003;083;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;55,265228028398;010150020003;01015002000308302;010150020003083021;202605
1;010150;020003;083;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;55,265228028398;010150020003;01015002000308303;010150020003083031;202605
1;010150;020003;083;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;55,265228028398;010150020003;01015002000308304;010150020003083041;202605
1;010150;020003;083;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;55,265228028398;010150020003;01015002000308305;010150020003083051;202605
1;010150;020003;083;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;55,265228028398;010150020003;01015002000308306;010150020003083061;202605
1;010150;020003;083;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;55,265228028398;010150020003;01015002000308307;010150020003083071;202605
1;010150;021402;063;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;51,0076847185357;010150021402;01015002140206301;010150021402063011;202605
1;010150;021402;063;02;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;51,0076847185357;010150021402;01015002140206302;010150021402063021;202605
1;010150;021402;063;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;51,0076847185357;010150021402;01015002140206303;010150021402063031;202605
1;010150;021402;063;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2713;51,0076847185357;010150021402;01015002140206306;010150021402063061;202605
1;010150;021402;063;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;51,0076847185357;010150021402;01015002140206307;010150021402063071;202605
1;010150;021402;063;10;1;3;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;51,0076847185357;010150021402;01015002140206310;010150021402063101;202605
1;010150;022301;063;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;54,2102685041053;010150022301;01015002230106301;010150022301063011;202605
1;010150;022301;063;03;1;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;54,2102685041053;010150022301;01015002230106303;010150022301063031;202605
1;010150;022301;063;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;54,2102685041053;010150022301;01015002230106304;010150022301063041;202605
1;010150;022301;063;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;54,2102685041053;010150022301;01015002230106305;010150022301063051;202605
1;010150;022301;063;06;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;3;3;2712;54,2102685041053;010150022301;01015002230106306;010150022301063061;202605
1;010150;022301;063;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;54,2102685041053;010150022301;01015002230106307;010150022301063071;202605
1;010150;022301;063;09;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;54,2102685041053;010150022301;01015002230106309;010150022301063091;202605
1;010150;022701;066;01;1;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2713;127,86915171083;010150022701;01015002270106601;010150022701066011;202605
1;010150;022701;066;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;127,86915171083;010150022701;01015002270106602;010150022701066021;202605
1;010150;022701;066;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;127,86915171083;010150022701;01015002270106605;010150022701066051;202605
1;010150;022701;066;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;127,86915171083;010150022701;01015002270106606;010150022701066061;202605
1;010150;022701;066;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2713;127,86915171083;010150022701;01015002270106607;010150022701066071;202605
1;010150;022701;066;08;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;127,86915171083;010150022701;01015002270106608;010150022701066081;202605
1;010150;022701;066;10;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;127,86915171083;010150022701;01015002270106610;010150022701066101;202605
1;010150;022803;083;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;322,672357919237;010150022803;01015002280308301;010150022803083011;202605
1;010150;022803;083;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;322,672357919237;010150022803;01015002280308302;010150022803083021;202605
